timestamp,packet_size,direction,iat
1479772812.768274,199,0,0.175414085
1479772812.770874,66,1,0.002599955
1479772818.674545,421,1,5.903671026
1479772818.674775,493,1,0.000229836
1479772818.674965,489,1,0.000190020
1479772818.675133,469,1,0.000168085
1479772818.675295,501,1,0.000162125
1479772818.675453,483,1,0.000157833
1479772818.675612,485,1,0.000159025
1479772842.622805,204,1,23.947193146
1479772842.784903,199,0,0.162097931
1479772843.057846,199,0,0.272943020
1479772843.058966,66,1,0.001119852
1479772846.874817,86,1,3.815850973
1479772847.790238,42,0,0.915421009
1479772847.791353,42,1,0.001115084
1479772848.675607,421,1,0.884253979
1479772848.675831,493,1,0.000224113
1479772848.676396,489,1,0.000564814
1479772848.676567,469,1,0.000171185
1479772848.676708,501,1,0.000140905
1479772848.683814,483,1,0.007106066
1479772848.684007,485,1,0.000192881
1479772851.815294,86,1,3.131287098
1479772872.654142,204,1,20.838847876
1479772872.817930,199,0,0.163788080
1479772872.820410,66,1,0.002480030
1479772877.820242,42,0,4.999831915
1479772877.821346,42,1,0.001104116
1479772878.699607,421,1,0.878260851
1479772878.699830,493,1,0.000223160
1479772878.700015,489,1,0.000185013
1479772878.700190,469,1,0.000174999
1479772878.700394,501,1,0.000203848
1479772878.700555,483,1,0.000161171
1479772878.700721,485,1,0.000165939
1479772897.805292,46,1,19.104570866
1479772900.555388,46,1,2.750096083
1479772902.285927,381,1,1.730539083
1479772902.388405,381,1,0.102478027
1479772902.495029,74,0,0.106623888
1479772902.505662,74,0,0.010632992
1479772902.557107,74,1,0.051445007
1479772902.560973,74,1,0.003865957
1479772902.562231,66,0,0.001258135
1479772902.562294,252,0,0.000062943
1479772902.575065,66,0,0.012770891
1479772902.577179,66,1,0.002114058
1479772902.577373,1236,1,0.000194073
1479772902.577434,66,1,0.000061035
1479772902.582380,252,0,0.004945993
1479772902.586492,66,1,0.004112005
1479772902.587670,1236,1,0.001178026
1479772902.587744,66,1,0.000073910
1479772902.591505,66,0,0.003761053
1479772902.592725,66,0,0.001219988
1479772902.601428,66,0,0.008702993
1479772902.606824,66,0,0.005395889
1479772902.607457,66,1,0.000633001
1479772902.622329,66,1,0.014872074
1479772902.684927,204,1,0.062597990
1479772902.846950,199,0,0.162023067
1479772902.848185,66,1,0.001235008
1479772907.850239,42,0,5.002053976
1479772907.851354,42,1,0.001114845
1479772908.699476,421,1,0.848122120
1479772908.699705,493,1,0.000228882
1479772908.700318,489,1,0.000613213
