timestamp,packet_size,direction,iat
1479772906.072456,529,0,0.021777868
1479772906.074974,90,1,0.002518177
1479772906.349581,90,0,0.274606943
1479772911.050134,42,1,4.700552940
1479772911.050197,42,0,0.000062943
1479772943.903745,113,1,32.853548050
1479772975.251311,172,1,31.347566128
1479772975.396009,135,0,0.144697905
1479772975.653624,135,0,0.257615089
1479772975.659355,66,1,0.005730867
1479772980.400248,42,0,4.740893126
1479772980.401396,42,1,0.001147985
1479773211.435728,172,1,231.034332037
1479773211.580434,135,0,0.144706011
1479773211.837648,135,0,0.257213831
1479773211.838484,66,1,0.000836134
1479773216.590244,42,0,4.751760006
1479773216.591078,42,1,0.000833988
1479773447.620262,172,1,231.029183865
1479773447.764890,135,0,0.144628048
1479773448.021641,135,0,0.256751060
1479773448.022530,66,1,0.000889063
1479773452.770246,42,0,4.747715950
1479773452.771335,42,1,0.001088858
1479773543.911996,113,1,91.140661001
1479773683.804644,172,1,139.892648220
1479773683.949431,135,0,0.144786835
1479773684.201696,135,0,0.252264977
1479773684.202613,66,1,0.000917196
1479773688.950230,42,0,4.747616768
1479773688.951428,42,1,0.001198053
1479773919.989115,172,1,231.037687063
1479773920.133774,135,0,0.144659042
1479773920.136335,66,1,0.002560854
1479773925.140244,42,0,5.003909111
1479773925.141023,42,1,0.000778913
1479774143.963837,113,1,218.822813988
1479774156.161505,172,1,12.197668076
1479774156.306283,135,0,0.144778013
1479774156.561743,135,0,0.255460024
1479774156.582119,66,1,0.020375967
1479774161.310230,42,0,4.728111029
1479774161.313086,42,1,0.002856016
1479774392.345947,172,1,231.032860994
1479774392.490584,135,0,0.144636869
1479774392.749749,135,0,0.259165049
1479774392.750588,66,1,0.000838995
1479774397.500249,42,0,4.749660969
1479774397.503955,42,1,0.003705978
1479774628.530907,172,1,231.026952028
1479774628.675598,135,0,0.144690990
1479774628.678139,66,1,0.002541065
1479774633.680237,42,0,5.002098083
1479774633.680998,42,1,0.000761032
1479774743.945876,113,1,110.264877796
1479774864.506757,172,1,120.560881138
1479774864.651584,135,0,0.144826889
1479774864.909880,135,0,0.258296013
1479774864.911037,66,1,0.001157045
1479774869.660224,42,0,4.749186993
1479774869.661023,42,1,0.000798941
1479775100.691185,172,1,231.030162096
1479775100.837181,135,0,0.145996094
1479775100.838656,66,1,0.001474857
1479775105.840245,42,0,5.001589060
1479775105.841028,42,1,0.000782967
1479775336.667455,172,1,230.826426983
1479775336.812288,135,0,0.144833088
1479775336.814790,66,1,0.002501965
1479775341.820240,42,0,5.005450010
1479775341.821057,42,1,0.000817060
1479775343.926982,113,1,2.105924845
1479775572.643855,172,1,228.716873169
1479775572.789630,135,0,0.145774841
1479775572.792291,66,1,0.002660990
1479775577.790261,42,0,4.997970104
1479775577.791068,42,1,0.000807047
1479775808.620227,172,1,230.829159021
1479775808.765144,135,0,0.144917011
1479775808.767754,66,1,0.002609968
1479775813.770241,42,0,5.002486944
1479775813.771029,42,1,0.000787973
1479775943.904282,113,1,130.133253098
1479776044.778270,172,1,100.873987913
1479776044.923373,135,0,0.145102978
1479776044.925880,66,1,0.002506971
1479776049.930238,42,0,5.004358053
1479776049.931050,42,1,0.000812054
1479776280.753077,172,1,230.822026968
1479776281.456123,172,1,0.703046083
1479776282.864133,172,1,1.408009768
1479776285.681253,172,1,2.817120075
1479776285.954654,103,1,0.273401022
1479776287.864095,42,1,1.909440994
1479776287.864137,42,0,0.000041962
1479776291.313471,172,1,3.449334145
1479776301.657000,80,1,10.343528986
1479776301.677993,418,0,0.020992994
1479776301.680510,74,1,0.002516985
1479776301.824718,74,0,0.144207954
1479776301.826754,66,1,0.002036095
1479776301.827708,281,1,0.000953913
1479776301.972009,66,0,0.144300938
1479776301.975057,1514,0,0.003047943
1479776301.975173,1514,0,0.000116110
1479776301.975256,743,0,0.000082970
1479776301.976889,66,1,0.001632929
1479776301.977258,66,1,0.000369072
1479776301.977349,66,1,0.000091076
1479776302.066325,200,1,0.088975906
1479776302.211325,300,0,0.144999981
1479776302.215769,66,1,0.004444122
1479776302.282260,620,1,0.066490889
1479776302.443546,167,0,0.161286116
1479776302.484117,66,1,0.040570974
1479776302.577250,172,1,0.093132973
1479776302.593360,284,1,0.016109943
1479776302.744530,135,0,0.151170015
1479776302.800244,66,1,0.055714130
1479776306.680247,42,0,3.880002975
1479776306.681034,42,1,0.000787020
1479776325.105508,172,1,18.424474001
1479776330.104182,42,1,4.998673916
1479776330.104224,42,0,0.000041962
1479776370.161681,172,1,40.057456970
1479776375.160305,42,1,4.998624086
1479776375.160346,42,0,0.000041008
1479776460.272481,172,1,85.112134933
1479776465.272431,42,1,4.999949932
1479776465.272468,42,0,0.000037193
1479776508.757161,75,1,43.484692812
1479776508.778804,541,0,0.021643162
1479776508.780355,90,1,0.001550913
1479776509.046695,90,0,0.266340017
1479776513.757029,42,1,4.710334063
1479776513.757091,42,0,0.000061989
1479776538.669551,172,1,24.912459850
1479776538.813992,135,0,0.144441128
1479776538.815468,66,1,0.001476049
1479776543.820245,42,0,5.004776955
1479776543.821214,42,1,0.000968933
1479776543.903426,113,1,0.082211971
1479776774.646013,172,1,230.742587090
1479776774.790345,135,0,0.144331932
1479776775.029040,172,1,0.238695145
1479776775.126255,135,0,0.097214937
1479776775.127089,66,1,0.000833988
1479776775.173003,78,0,0.045913935
1479776779.800243,42,0,4.627239943
1479776779.802583,42,1,0.002340078
1479777010.934395,172,1,231.131812096
1479777011.078388,66,0,0.143992901
1479777011.078801,135,0,0.000412941
1479777011.088258,66,1,0.009457111
1479777016.080246,42,0,4.991987944
1479777016.081001,42,1,0.000755072
1479777143.928147,113,1,127.847146034
1479777246.911880,172,1,102.983732939
1479777247.056207,135,0,0.144326925
1479777247.058775,66,1,0.002568007
1479777252.060239,42,0,5.001464128
1479777252.061016,42,1,0.000777006
1479777482.887155,172,1,230.826138973
1479777483.031587,135,0,0.144431829
1479777483.033143,66,1,0.001556158
1479777488.040231,42,0,5.007087946
1479777488.040974,42,1,0.000742912
1479777718.863676,172,1,230.822702169
1479777719.007977,135,0,0.144300938
1479777719.010473,66,1,0.002496004
1479777724.010236,42,0,4.999763012
1479777724.011582,42,1,0.001345873
1479777743.915828,113,1,19.904246092
1479777954.900242,172,1,210.984414101
1479777955.044594,135,0,0.144351959
1479777955.046963,66,1,0.002368927
1479777960.050245,42,0,5.003282070
1479777960.051075,42,1,0.000829935
1479778190.876686,172,1,230.825611115
1479778191.021121,135,0,0.144434929
1479778191.023624,66,1,0.002502918
1479778196.030231,42,0,5.006607056
1479778196.031097,42,1,0.000865936
1479778343.934624,113,1,147.903527021
1479778426.853169,172,1,82.918545008
1479778426.997685,135,0,0.144515991
1479778427.000115,66,1,0.002429962
1479778432.000242,42,0,5.000127077
1479778432.001027,42,1,0.000785112
1479778662.829742,172,1,230.828714848
1479778662.974296,135,0,0.144554138
1479778663.234351,135,0,0.260054827
1479778663.235375,66,1,0.001024008
1479778667.980241,42,0,4.744866133
1479778667.981002,42,1,0.000761032
1479778899.018254,172,1,231.037251949
1479778899.163697,135,0,0.145442963
1479778899.422417,135,0,0.258719921
1479778899.423248,66,1,0.000831127
1479778904.170239,42,0,4.746990919
1479778904.170998,42,1,0.000759125
1479778943.927547,113,1,39.756548882
1479779135.198642,172,1,191.271095037
1479779135.343357,135,0,0.144715071
1479779135.345842,66,1,0.002484798
1479779140.350248,42,0,5.004406214
1479779140.351051,42,1,0.000802994
1479779371.175234,172,1,230.824182987
1479779371.319680,135,0,0.144445896
1479779371.322667,66,1,0.002986908
1479779376.320235,42,0,4.997568130
1479779376.321003,42,1,0.000767946
1479779543.966316,113,1,167.645313025
1479779607.152813,172,1,63.186496973
1479779607.297320,135,0,0.144506931
1479779607.301186,66,1,0.003866196
1479779612.300242,42,0,4.999055862
1479779612.301029,42,1,0.000787020
1479779843.204291,172,1,230.903262138
1479779843.348781,135,0,0.144490004
1479779843.357083,66,1,0.008301973
1479779848.350254,42,0,4.993170977
1479779848.351029,42,1,0.000774860
1479780079.183278,172,1,230.832249165
1479780079.327801,135,0,0.144522905
1479780079.330249,66,1,0.002448082
1479780084.330240,42,0,4.999990940
