device_label,window_id,time_block_id,dwt_cA3_mean,dwt_cA3_var,dwt_cA3_std,dwt_cA3_energy,dwt_cA3_entropy,dwt_cD3_mean,dwt_cD3_var,dwt_cD3_std,dwt_cD3_energy,dwt_cD3_entropy,dwt_cD2_mean,dwt_cD2_var,dwt_cD2_std,dwt_cD2_energy,dwt_cD2_entropy,dwt_cD1_mean,dwt_cD1_var,dwt_cD1_std,dwt_cD1_energy,dwt_cD1_entropy
AmazonEcho,0,0,1.623510298,1.853651900,1.361488854,98.767626961,3.564474361,-0.009412936,0.673461866,0.820647224,14.818110326,3.119634928,-0.129658445,0.928344222,0.963506213,34.970754774,3.412672612,-0.116935110,0.269859844,0.519480360,18.996755508,3.886442372
AmazonEcho,1,0,1.131366052,1.921744524,1.386270004,70.438140702,3.037473541,0.242658077,0.805592686,0.897548153,19.018463822,2.313056450,-0.161833742,0.279007271,0.528211388,11.292304950,2.141434137,-0.090173800,0.138573307,0.372254357,9.829209592,2.623429414
AmazonEcho,2,0,1.279082136,1.199310336,1.095130283,62.377951813,3.506678880,-0.294671592,0.783787006,0.885317461,19.153603775,3.467701303,-0.079435068,0.768290630,0.876521894,28.660220739,3.491289357,0.088388994,0.535880396,0.732038521,36.427431708,4.649171100
AmazonEcho,3,0,1.373891225,2.232634627,1.494200330,90.644657959,3.166970344,0.271556486,0.424346866,0.651419117,10.957975397,1.698708335,0.030612712,0.662664118,0.814041840,24.553246466,3.146601965,0.002118265,0.136268072,0.369145055,9.130261456,3.364374633
AmazonEcho,4,0,1.856576142,1.859106488,1.363490553,116.731592096,3.701036811,-0.019405875,0.914348127,0.956215523,20.123943729,2.679888460,0.029616613,0.403097455,0.634899563,14.947060149,3.267886686,-0.093213248,0.447977844,0.669311470,30.596659125,4.270153466
AmazonEcho,5,0,0.296839535,0.346141198,0.588337656,9.553607955,1.687098300,-0.016119342,0.123792988,0.351842277,2.729162064,1.736970669,0.023040735,0.191457689,0.437558783,7.103576878,1.627487902,0.045671046,0.084043257,0.289902150,5.770649770,2.261037325
AmazonEcho,6,0,1.523143198,1.363852734,1.167841057,81.043994584,3.621261503,0.496656396,0.862840625,0.928892149,24.409180417,3.016742160,-0.108656590,0.969166373,0.984462479,36.295987224,3.364735616,0.105174029,0.437629007,0.661535340,30.062269057,4.512371096
AmazonEcho,7,0,1.392723558,1.491913765,1.221439219,75.495038794,3.532875673,0.357002859,0.652378410,0.807699455,17.156247930,2.728268096,-0.018234535,1.003894241,1.001945228,37.156389337,3.654760225,-0.159620818,0.513489740,0.716581984,36.110892555,4.736996685
AmazonEcho,8,0,0.832078191,0.874766427,0.935289488,34.476651925,2.962506249,-0.014171362,0.768719202,0.876766333,16.916240656,2.581651132,0.074654757,0.452389996,0.672599432,16.944643158,3.327688823,0.043393775,0.193725609,0.440142714,13.105778118,3.274038828
AmazonEcho,9,0,1.734828823,2.360043963,1.536243458,118.132850176,3.526915087,0.181311139,0.760025399,0.871794356,17.443780828,2.679543871,0.034515811,0.651486595,0.807147195,24.149083638,3.126908218,-0.178849709,0.320643290,0.566253733,23.626244068,4.163372445
AmazonEcho,10,0,1.740187834,0.896187686,0.946671900,86.337710464,3.961315018,-0.070165106,1.081242226,1.039827979,23.895638089,3.399683280,0.138912935,0.650183613,0.806339638,24.770775394,3.717395857,0.053697923,0.672380521,0.819988122,45.242687162,4.728664164
AmazonEcho,11,0,1.112711482,1.309945861,1.144528663,56.057599476,3.366932546,0.054113218,1.051664688,1.025507040,23.201044425,3.109225381,-0.051365948,0.459276933,0.677699737,17.090869578,3.954536185,-0.061880837,0.528509445,0.726986551,35.666691775,4.557656473
AmazonEcho,12,0,0.662349122,0.674546691,0.821307915,24.491567114,2.718024994,0.048534382,0.222469346,0.471666562,4.946148510,2.332364068,0.024085859,0.214675304,0.463330663,7.964450991,2.517870548,-0.067583181,0.239395748,0.489280848,16.345536713,3.521627266
AmazonEcho,13,0,1.817714715,1.190631810,1.091160763,98.883809074,3.923595769,-0.010845639,0.674876420,0.821508624,14.849869051,2.957786474,-0.123528230,0.830556313,0.911348623,31.295174838,3.940455158,-0.128069114,0.638236951,0.798897335,43.860789501,4.622872938
AmazonEcho,14,0,1.175450048,1.656636412,1.287103885,66.843022983,3.280211369,-0.004860441,0.491495798,0.701067613,10.813427272,2.887701768,-0.073954235,0.739715557,0.860067182,27.571837071,3.485746627,-0.130258900,0.517191864,0.719160527,35.788669434,4.509164296
AmazonEcho,15,0,1.028417031,1.119632627,1.058126943,47.900032772,3.282573311,-0.224856256,1.082798073,1.040575837,24.933884994,3.321672705,-0.038735453,0.470959156,0.686264640,17.481004886,3.133940417,-0.095196184,0.183028894,0.427818763,12.870110875,3.700614385
AmazonEcho,16,0,1.583629031,1.865792613,1.365940194,96.220817443,3.557906363,-0.040146970,0.747414756,0.864531524,16.478583775,2.849160281,0.140895244,0.540252366,0.735018616,20.723841906,3.277349624,0.120219167,0.380818078,0.617104593,26.483138674,4.153951389
AmazonEcho,17,0,1.496528777,1.562428462,1.249971385,83.644590513,3.539927619,-0.203087715,1.139376562,1.067415834,25.973666013,3.353514786,0.002765785,0.688924918,0.830015011,25.490505003,3.782566783,0.138550717,0.533481246,0.730398005,37.029395663,4.812247370
AmazonEcho,18,1,1.407772109,1.458898259,1.207848608,75.695852533,3.532568344,-0.006881476,0.890738044,0.943789194,19.597278762,2.830704539,-0.074607924,0.614290747,0.783767024,22.934712310,3.496777833,0.131181832,0.322170822,0.567600936,22.738426187,4.265277100
